itemname,price,p,group,newdate
Cigarettes,1020,.019999981,1,1989-11-01
Cigarettes,2030,.0099999905,1,1989-11-01
Cigarettes,3040,.0099999905,1,1989-11-01
Cigarettes,4050,.019999981,1,1989-11-01
Cigarettes,5060,.050000072,1,1989-11-01
Cigarettes,6070,.039999962,1,1989-11-01
Cigarettes,7080,.019999981,1,1989-11-01
Cigarettes,8090,0,1,1989-11-01
Men's socks,10,1.39,1,1989-11-01
Men's socks,1020,.36000001,1,1989-11-01
Men's socks,2030,.24000001,1,1989-11-01
Men's socks,3040,0,1,1989-11-01
Men's socks,4050,.25999999,1,1989-11-01
Men's socks,5060,.25,1,1989-11-01
Men's socks,6070,.49000001,1,1989-11-01
Men's socks,7080,.25999999,1,1989-11-01
Men's socks,8090,.70000005,1,1989-11-01
Lettuce,10,.55000001,1,1989-12-01
Lettuce,1020,.099999964,1,1989-12-01
Lettuce,2030,.080000043,1,1989-12-01
Lettuce,3040,.060000002,1,1989-12-01
Lettuce,4050,.0099999905,1,1989-12-01
Lettuce,5060,.089999974,1,1989-12-01
Lettuce,6070,0,1,1989-12-01
Lettuce,7080,.090000033,1,1989-12-01
Lettuce,8090,.0099999905,1,1989-12-01
Cigarettes,10,1.49,1,1989-12-01
Cigarettes,1020,.0099999905,1,1989-12-01
Cigarettes,2030,.0099999905,1,1989-12-01
Cigarettes,3040,0,1,1989-12-01
Cigarettes,4050,.034999967,1,1989-12-01
Cigarettes,5060,.055000067,1,1989-12-01
Cigarettes,6070,.049999952,1,1989-12-01
Cigarettes,7080,0,1,1989-12-01
Cigarettes,8090,0,1,1989-12-01
Men's socks,10,1.45,1,1989-12-01
Men's socks,1020,.29999995,1,1989-12-01
Men's socks,2030,.24000001,1,1989-12-01
Men's socks,3040,0,1,1989-12-01
Men's socks,4050,.25999999,1,1989-12-01
Men's socks,5060,.25,1,1989-12-01
Men's socks,6070,.49000001,1,1989-12-01
Men's socks,7080,.25999999,1,1989-12-01
Men's socks,8090,.70000005,1,1989-12-01
Lettuce,10,.64999998,1,1990-01-01
Lettuce,1020,.14000005,1,1990-01-01
Lettuce,2030,.060000002,1,1990-01-01
Lettuce,3040,.039999962,1,1990-01-01
Lettuce,4050,.060000002,1,1990-01-01
Lettuce,5060,.030000031,1,1990-01-01
Lettuce,6070,.0099999905,1,1990-01-01
Lettuce,7080,0,1,1990-01-01
Lettuce,8090,.20000005,1,1990-01-01
Cigarettes,10,1.49,1,1990-01-01
Cigarettes,1020,.0099999905,1,1990-01-01
Cigarettes,2030,.0099999905,1,1990-01-01
Cigarettes,3040,.0099999905,1,1990-01-01
Cigarettes,4050,.029999971,1,1990-01-01
Cigarettes,5060,.050000072,1,1990-01-01
Cigarettes,6070,.049999952,1,1990-01-01
Cigarettes,7080,0,1,1990-01-01
Cigarettes,8090,0,1,1990-01-01
Men's socks,10,1.35,1,1990-01-01
Men's socks,1020,.39999998,1,1990-01-01
Men's socks,2030,.24000001,1,1990-01-01
Men's socks,3040,0,1,1990-01-01
Men's socks,4050,.25999999,1,1990-01-01
Men's socks,5060,.25,1,1990-01-01
Men's socks,6070,.49000001,1,1990-01-01
Men's socks,7080,.0099999905,1,1990-01-01
Men's socks,8090,.95000005,1,1990-01-01
Lettuce,10,.64999998,1,1990-02-01
Lettuce,1020,.10000002,1,1990-02-01
Lettuce,2030,.040000021,1,1990-02-01
Lettuce,3040,.060000002,1,1990-02-01
Lettuce,4050,.039999962,1,1990-02-01
Lettuce,5060,.030000031,1,1990-02-01
Lettuce,6070,.060000002,1,1990-02-01
Lettuce,7080,.0099999905,1,1990-02-01
Lettuce,8090,.0099999905,1,1990-02-01
Pub meal,10,1.5,1,1990-02-01
Pub meal,1020,.29999995,1,1990-02-01
Pub meal,2030,.20000005,1,1990-02-01
Pub meal,3040,.20000005,1,1990-02-01
Pub meal,4050,.25,1,1990-02-01
Pub meal,5060,.049999952,1,1990-02-01
Pub meal,6070,.29999995,1,1990-02-01
Pub meal,7080,.20000005,1,1990-02-01
Pub meal,8090,.45000005,1,1990-02-01
Cigarettes,10,1.49,1,1990-02-01
Cigarettes,1020,.0099999905,1,1990-02-01
Cigarettes,2030,.0099999905,1,1990-02-01
Cigarettes,3040,0,1,1990-02-01
Cigarettes,4050,.039999962,1,1990-02-01
Cigarettes,5060,.050000072,1,1990-02-01
Cigarettes,6070,.049999952,1,1990-02-01
Cigarettes,7080,0,1,1990-02-01
Cigarettes,8090,0,1,1990-02-01
Men's socks,10,1.25,1,1990-02-01
Men's socks,1020,.35000002,1,1990-02-01
Men's socks,2030,.38999999,1,1990-02-01
Men's socks,3040,0,1,1990-02-01
Men's socks,4050,0,1,1990-02-01
Men's socks,5060,.5,1,1990-02-01
Men's socks,6070,.25999999,1,1990-02-01
